Cenário Projeção;natureza;ICAO;Sentido;Ano;Passageiros
Observado;domestico;SBBR;Total;2013;16678170,0
Observado;domestico;SBBR;Total;2014;17710500,0
Observado;domestico;SBBR;Total;2015;18848771,0
Observado;domestico;SBBR;Total;2016;17135749,0
Observado;domestico;SBBR;Total;2017;16272763,0
Observado;domestico;SBBR;Total;2018;17309063,0
Observado;domestico;SBBR;Total;2019;16207727,0
Observado;domestico;SBBR;Total;2020;7432183,0
Observado;domestico;SBBR;Total;2021;9289693,0
Observado;domestico;SBBR;Total;2022;13044676,0
Observado;domestico;SBBR;Total;2023;14269901,0
Observado;domestico;SBBR;Total;2024;14431230,0
Observado;domestico;SBBV;Total;2004;101153,0
Observado;domestico;SBBV;Total;2005;129368,0
Observado;domestico;SBBV;Total;2006;139708,0
Observado;domestico;SBBV;Total;2007;201741,0
Observado;domestico;SBBV;Total;2008;199040,0
Observado;domestico;SBBV;Total;2009;173217,0
Observado;domestico;SBBV;Total;2010;217626,0
Observado;domestico;SBBV;Total;2011;312068,0
Observado;domestico;SBBV;Total;2012;310480,0
Observado;domestico;SBBV;Total;2013;355477,0
Observado;domestico;SBBV;Total;2014;368501,0
Observado;domestico;SBBV;Total;2015;339741,0
Observado;domestico;SBBV;Total;2016;283898,0
Observado;domestico;SBBV;Total;2017;284109,0
Observado;domestico;SBBV;Total;2018;310825,0
Observado;domestico;SBBV;Total;2019;345997,0
Observado;domestico;SBBV;Total;2020;192055,0
Observado;domestico;SBBV;Total;2021;284423,0
Observado;domestico;SBBV;Total;2022;369111,0
Observado;domestico;SBBV;Total;2023;397157,0
Observado;domestico;SBBV;Total;2024;451337,0
Observado;domestico;SBBW;Total;2004;30,0
Observado;domestico;SBBW;Total;2005;382,0
Observado;domestico;SBBW;Total;2006;383,0
Observado;domestico;SBBW;Total;2007;18,0
Observado;domestico;SBBW;Total;2012;54,0
Observado;domestico;SBBW;Total;2013;0,0
Observado;domestico;SBBW;Total;2014;0,0
Observado;domestico;SBBW;Total;2016;4189,0
Observado;domestico;SBBW;Total;2017;21738,0
Observado;domestico;SBBW;Total;2018;16138,0
Observado;domestico;SBBW;Total;2019;12688,0
Observado;domestico;SBBW;Total;2020;3070,0
Observado;domestico;SBBW;Total;2021;2739,0
Observado;domestico;SBBW;Total;2022;2281,0
Observado;domestico;SBBW;Total;2023;1339,0
Observado;domestico;SBBW;Total;2024;1827,0
Observado;domestico;SBCA;Total;2004;37733,0
Observado;domestico;SBCA;Total;2005;36605,0
Observado;domestico;SBCA;Total;2006;39669,0
Observado;domestico;SBCA;Total;2007;56705,0
Observado;domestico;SBCA;Total;2008;74158,0
Observado;domestico;SBCA;Total;2009;76295,0
Observado;domestico;SBCA;Total;2010;69565,0
Observado;domestico;SBCA;Total;2011;48935,0
Observado;domestico;SBCA;Total;2012;169306,0
Observado;domestico;SBCA;Total;2013;153462,0
Observado;domestico;SBCA;Total;2014;230282,0
Observado;domestico;SBCA;Total;2015;252592,0
Observado;domestico;SBCA;Total;2016;195664,0
Observado;domestico;SBCA;Total;2017;156586,0
Observado;domestico;SBCA;Total;2018;143431,0
Observado;domestico;SBCA;Total;2019;232704,0
Observado;domestico;SBCA;Total;2020;127616,0
Observado;domestico;SBCA;Total;2021;174811,0
Observado;domestico;SBCA;Total;2022;279027,0
Observado;domestico;SBCA;Total;2023;368363,0
Observado;domestico;SBCA;Total;2024;416951,0
Observado;domestico;SBCB;Total;2004;1445,0
Observado;domestico;SBCB;Total;2007;1259,0
Observado;domestico;SBCB;Total;2008;5633,0
Observado;domestico;SBCB;Total;2009;7287,0
Observado;domestico;SBCB;Total;2010;10240,0
Observado;domestico;SBCB;Total;2011;12394,0
Observado;domestico;SBCB;Total;2012;13557,0
Observado;domestico;SBCB;Total;2013;23062,0
Observado;domestico;SBCB;Total;2014;39772,0
Observado;domestico;SBCB;Total;2015;47364,0
Observado;domestico;SBCB;Total;2016;37767,0
Observado;domestico;SBCB;Total;2017;36153,0
Observado;domestico;SBCB;Total;2018;32055,0
Observado;domestico;SBCB;Total;2019;44447,0
Observado;domestico;SBCB;Total;2020;33638,0
Observado;domestico;SBCB;Total;2021;38512,0
Observado;domestico;SBCB;Total;2022;47872,0
Observado;domestico;SBCB;Total;2023;38746,0
Observado;domestico;SBCB;Total;2024;32944,0
Observado;domestico;SBCF;Total;2004;338681,0
Observado;domestico;SBCF;Total;2005;2766542,0
Observado;domestico;SBCF;Total;2006;3583459,0
Observado;domestico;SBCF;Total;2007;4196199,0
Observado;domestico;SBCF;Total;2008;4715817,0
Observado;domestico;SBCF;Total;2009;5356610,0
Observado;domestico;SBCF;Total;2010;7053354,0
Observado;domestico;SBCF;Total;2011;9240230,0
Observado;domestico;SBCF;Total;2012;10117157,0
Observado;domestico;SBCF;Total;2013;9936508,0
Observado;domestico;SBCF;Total;2014;10518765,0
Observado;domestico;SBCF;Total;2015;10775762,0
Observado;domestico;SBCF;Total;2016;9251820,0
Observado;domestico;SBCF;Total;2017;9632388,0
Observado;domestico;SBCF;Total;2018;9989027,0
Observado;domestico;SBCF;Total;2019;10590922,0
Observado;domestico;SBCF;Total;2020;4636138,0
Observado;domestico;SBCF;Total;2021;6540728,0
Observado;domestico;SBCF;Total;2022;9215299,0
Observado;domestico;SBCF;Total;2023;10013673,0
Observado;domestico;SBCF;Total;2024;11643239,0
Observado;domestico;SBCG;Total;2004;539573,0
Observado;domestico;SBCG;Total;2005;645787,0
Observado;domestico;SBCG;Total;2006;676707,0
Observado;domestico;SBCG;Total;2007;729487,0
Observado;domestico;SBCG;Total;2008;832048,0
Observado;domestico;SBCG;Total;2009;1003371,0
Observado;domestico;SBCG;Total;2010;1310956,0
Observado;domestico;SBCG;Total;2011;1494428,0
Observado;domestico;SBCG;Total;2012;1674799,0
Observado;domestico;SBCG;Total;2013;1590981,0
Observado;domestico;SBCG;Total;2014;1626252,0
Observado;domestico;SBCG;Total;2015;1557503,0
Observado;domestico;SBCG;Total;2016;1446842,0
Observado;domestico;SBCG;Total;2017;1527519,0
Observado;domestico;SBCG;Total;2018;1573475,0
Observado;domestico;SBCG;Total;2019;1501704,0
Observado;domestico;SBCG;Total;2020;690884,0
Observado;domestico;SBCG;Total;2021;937509,0
Observado;domestico;SBCG;Total;2022;1356980,0
Observado;domestico;SBCG;Total;2023;1502853,0
Observado;domestico;SBCG;Total;2024;1521150,0
Observado;domestico;SBCH;Total;2004;63844,0
Observado;domestico;SBCH;Total;2005;73445,0
Observado;domestico;SBCH;Total;2006;71809,0
Observado;domestico;SBCH;Total;2007;125754,0
Observado;domestico;SBCH;Total;2008;138210,0
Observado;domestico;SBCH;Total;2009;190873,0
Observado;domestico;SBCH;Total;2010;216855,0
Observado;domestico;SBCH;Total;2011;251378,0
Observado;domestico;SBCH;Total;2012;212100,0
Observado;domestico;SBCH;Total;2013;388108,0
Observado;domestico;SBCH;Total;2014;420541,0
Observado;domestico;SBCH;Total;2015;437629,0
Observado;domestico;SBCH;Total;2016;414289,0
Observado;domestico;SBCH;Total;2017;465107,0
Observado;domestico;SBCH;Total;2018;479576,0
Observado;domestico;SBCH;Total;2019;461680,0
Observado;domestico;SBCH;Total;2020;239805,0
Observado;domestico;SBCH;Total;2021;386461,0
Observado;domestico;SBCH;Total;2022;504682,0
Observado;domestico;SBCH;Total;2023;600185,0
Observado;domestico;SBCH;Total;2024;614651,0
Observado;domestico;SBCJ;Total;2004;14653,0
Observado;domestico;SBCJ;Total;2005;34457,0
Observado;domestico;SBCJ;Total;2006;45587,0
Observado;domestico;SBCJ;Total;2007;26253,0
Observado;domestico;SBCJ;Total;2008;26992,0
Observado;domestico;SBCJ;Total;2009;25401,0
Observado;domestico;SBCJ;Total;2010;45320,0
Observado;domestico;SBCJ;Total;2011;85525,0
Observado;domestico;SBCJ;Total;2012;125537,0
Observado;domestico;SBCJ;Total;2013;112446,0
Observado;domestico;SBCJ;Total;2014;132327,0
Observado;domestico;SBCJ;Total;2015;204874,0
Observado;domestico;SBCJ;Total;2016;154699,0
Observado;domestico;SBCJ;Total;2017;121425,0
Observado;domestico;SBCJ;Total;2018;112354,0
Observado;domestico;SBCJ;Total;2019;138418,0
Observado;domestico;SBCJ;Total;2020;60866,0
Observado;domestico;SBCJ;Total;2021;106790,0
Observado;domestico;SBCJ;Total;2022;127062,0
Observado;domestico;SBCJ;Total;2023;156824,0
Observado;domestico;SBCJ;Total;2024;194125,0
Observado;domestico;SBCN;Total;2008;63525,0
Observado;domestico;SBCN;Total;2009;95662,0
Observado;domestico;SBCN;Total;2010;111510,0
Observado;domestico;SBCN;Total;2011;121896,0
Observado;domestico;SBCN;Total;2012;117804,0
Observado;domestico;SBCN;Total;2013;126956,0
Observado;domestico;SBCN;Total;2014;129157,0
Observado;domestico;SBCN;Total;2015;149462,0
Observado;domestico;SBCN;Total;2016;147232,0
Observado;domestico;SBCN;Total;2017;137910,0
Observado;domestico;SBCN;Total;2018;138234,0
Observado;domestico;SBCN;Total;2019;136021,0
Observado;domestico;SBCN;Total;2020;27512,0
Observado;domestico;SBCN;Total;2021;53353,0
Observado;domestico;SBCN;Total;2022;58177,0
Observado;domestico;SBCN;Total;2023;55288,0
Observado;domestico;SBCN;Total;2024;61565,0
Observado;domestico;SBCP;Total;2004;9321,0
Observado;domestico;SBCP;Total;2005;7268,0
Observado;domestico;SBCP;Total;2006;4995,0
Observado;domestico;SBCP;Total;2007;4246,0
Observado;domestico;SBCP;Total;2008;1415,0
Observado;domestico;SBCP;Total;2009;6907,0
Observado;domestico;SBCP;Total;2010;6941,0
Observado;domestico;SBCP;Total;2011;15409,0
Observado;domestico;SBCP;Total;2012;36758,0
Observado;domestico;SBCP;Total;2013;40516,0
Observado;domestico;SBCP;Total;2014;51560,0
Observado;domestico;SBCP;Total;2015;48971,0
Observado;domestico;SBCP;Total;2016;33935,0
Observado;domestico;SBCP;Total;2017;24409,0
Observado;domestico;SBCP;Total;2018;16086,0
Observado;domestico;SBCP;Total;2019;13670,0
Observado;domestico;SBCP;Total;2020;4082,0
Observado;domestico;SBCP;Total;2021;13815,0
Observado;domestico;SBCP;Total;2022;30773,0
Observado;domestico;SBCP;Total;2023;28104,0
Observado;domestico;SBCP;Total;2024;27857,0
Observado;domestico;SBCR;Total;2004;23652,0
Observado;domestico;SBCR;Total;2005;33788,0
Observado;domestico;SBCR;Total;2006;31981,0
Observado;domestico;SBCR;Total;2007;32711,0
Observado;domestico;SBCR;Total;2008;24372,0
Observado;domestico;SBCR;Total;2009;24748,0
Observado;domestico;SBCR;Total;2010;26072,0
Observado;domestico;SBCR;Total;2011;29752,0
Observado;domestico;SBCR;Total;2012;30049,0
Observado;domestico;SBCR;Total;2013;28158,0
Observado;domestico;SBCR;Total;2014;33678,0
Observado;domestico;SBCR;Total;2015;32986,0
Observado;domestico;SBCR;Total;2016;34180,0
Observado;domestico;SBCR;Total;2017;27731,0
Observado;domestico;SBCR;Total;2018;27542,0
Observado;domestico;SBCR;Total;2019;28114,0
Observado;domestico;SBCR;Total;2020;5790,0
Observado;domestico;SBCR;Total;2021;19931,0
Observado;domestico;SBCR;Total;2022;37210,0
Observado;domestico;SBCR;Total;2023;26104,0
Observado;domestico;SBCR;Total;2024;22831,0
Observado;domestico;SBCT;Total;2004;2611885,0
Observado;domestico;SBCT;Total;2005;3136011,0
Observado;domestico;SBCT;Total;2006;3383371,0
Observado;domestico;SBCT;Total;2007;3713249,0
Observado;domestico;SBCT;Total;2008;4146944,0
Observado;domestico;SBCT;Total;2009;4746857,0
Observado;domestico;SBCT;Total;2010;5786841,0
Observado;domestico;SBCT;Total;2011;6839066,0
Observado;domestico;SBCT;Total;2012;6882083,0
Observado;domestico;SBCT;Total;2013;6725046,0
Observado;domestico;SBCT;Total;2014;7188349,0
Observado;domestico;SBCT;Total;2015;7089521,0
Observado;domestico;SBCT;Total;2016;6291538,0
Observado;domestico;SBCT;Total;2017;6608386,0
Observado;domestico;SBCT;Total;2018;6269084,0
Observado;domestico;SBCT;Total;2019;6455324,0
Observado;domestico;SBCT;Total;2020;2492227,0
Observado;domestico;SBCT;Total;2021;2985253,0
Observado;domestico;SBCT;Total;2022;4891187,0
Observado;domestico;SBCT;Total;2023;5536034,0
Observado;domestico;SBCT;Total;2024;5517060,0
Observado;domestico;SBCX;Total;2004;62939,0
Observado;domestico;SBCX;Total;2005;146610,0
Observado;domestico;SBCX;Total;2006;127761,0
Observado;domestico;SBCX;Total;2007;105532,0
Observado;domestico;SBCX;Total;2008;112534,0
Observado;domestico;SBCX;Total;2009;109725,0
Observado;domestico;SBCX;Total;2010;148034,0
Observado;domestico;SBCX;Total;2011;161336,0
Observado;domestico;SBCX;Total;2012;260328,0
Observado;domestico;SBCX;Total;2013;205047,0
Observado;domestico;SBCX;Total;2014;194717,0
Observado;domestico;SBCX;Total;2015;168382,0
Observado;domestico;SBCX;Total;2016;181626,0
Observado;domestico;SBCX;Total;2017;187011,0
Observado;domestico;SBCX;Total;2018;183175,0
Observado;domestico;SBCX;Total;2019;208088,0
Observado;domestico;SBCX;Total;2020;53603,0
Observado;domestico;SBCX;Total;2021;91609,0
Observado;domestico;SBCX;Total;2022;212087,0
Observado;domestico;SBCX;Total;2023;307639,0
Observado;domestico;SBCX;Total;2024;430752,0
Observado;domestico;SBCY;Total;2004;636861,0
Observado;domestico;SBCY;Total;2005;827688,0
Observado;domestico;SBCY;Total;2006;898734,0
Observado;domestico;SBCY;Total;2007;1162012,0
Observado;domestico;SBCY;Total;2008;1346291,0
Observado;domestico;SBCY;Total;2009;1623334,0
Observado;domestico;SBCY;Total;2010;2097836,0
Observado;domestico;SBCY;Total;2011;2498888,0
Observado;domestico;SBCY;Total;2012;2684835,0
Observado;domestico;SBCY;Total;2013;2869893,0
Observado;domestico;SBCY;Total;2014;3202489,0
Observado;domestico;SBCY;Total;2015;3208550,0
Observado;domestico;SBCY;Total;2016;2812254,0
Observado;domestico;SBCY;Total;2017;2877197,0
Observado;domestico;SBCY;Total;2018;3012699,0
Observado;domestico;SBCY;Total;2019;2923272,0
Observado;domestico;SBCY;Total;2020;1437518,0
Observado;domestico;SBCY;Total;2021;2011210,0
Observado;domestico;SBCY;Total;2022;2946720,0
Observado;domestico;SBCY;Total;2023;2836748,0
Observado;domestico;SBCY;Total;2024;2695666,0
Observado;domestico;SBCZ;Total;2004;35695,0
Observado;domestico;SBCZ;Total;2005;52230,0
Observado;domestico;SBCZ;Total;2006;60518,0
Observado;domestico;SBCZ;Total;2007;71144,0
Observado;domestico;SBCZ;Total;2008;73826,0
Observado;domestico;SBCZ;Total;2009;87013,0
Observado;domestico;SBCZ;Total;2010;99548,0
Observado;domestico;SBCZ;Total;2011;101444,0
Observado;domestico;SBCZ;Total;2012;53184,0
Observado;domestico;SBCZ;Total;2013;54553,0
Observado;domestico;SBCZ;Total;2014;56492,0
Observado;domestico;SBCZ;Total;2015;64393,0
Observado;domestico;SBCZ;Total;2016;64081,0
Observado;domestico;SBCZ;Total;2017;79206,0
Observado;domestico;SBCZ;Total;2018;70864,0
Observado;domestico;SBCZ;Total;2019;59513,0
Observado;domestico;SBCZ;Total;2020;19694,0
Observado;domestico;SBCZ;Total;2021;37706,0
Observado;domestico;SBCZ;Total;2022;41101,0
Observado;domestico;SBCZ;Total;2023;40378,0
Observado;domestico;SBCZ;Total;2024;40515,0
Observado;domestico;SBDB;Total;2004;884,0
Observado;domestico;SBDB;Total;2005;5431,0
Observado;domestico;SBDB;Total;2006;11134,0
Observado;domestico;SBDB;Total;2007;5248,0
Observado;domestico;SBDB;Total;2009;2419,0
Observado;domestico;SBDB;Total;2010;5061,0
Observado;domestico;SBDB;Total;2011;7777,0
Observado;domestico;SBDB;Total;2012;10152,0
Observado;domestico;SBDB;Total;2013;14703,0
Observado;domestico;SBDB;Total;2014;18966,0
Observado;domestico;SBDB;Total;2015;23191,0
Observado;domestico;SBDB;Total;2016;23753,0
Observado;domestico;SBDB;Total;2017;13363,0
Observado;domestico;SBDB;Total;2018;15406,0
Observado;domestico;SBDB;Total;2019;16511,0
Observado;domestico;SBDB;Total;2020;5401,0
Observado;domestico;SBDB;Total;2021;17483,0
Observado;domestico;SBDB;Total;2022;50656,0
Observado;domestico;SBDB;Total;2023;46755,0
Observado;domestico;SBDB;Total;2024;50553,0
Observado;domestico;SBDN;Total;2004;27910,0
Observado;domestico;SBDN;Total;2005;33701,0
Observado;domestico;SBDN;Total;2006;28900,0
Observado;domestico;SBDN;Total;2007;57863,0
Observado;domestico;SBDN;Total;2008;143034,0
Observado;domestico;SBDN;Total;2009;169671,0
Observado;domestico;SBDN;Total;2010;206094,0
Observado;domestico;SBDN;Total;2011;258576,0
Observado;domestico;SBDN;Total;2012;283295,0
Observado;domestico;SBDN;Total;2013;255516,0
Observado;domestico;SBDN;Total;2014;289480,0
Observado;domestico;SBDN;Total;2015;267608,0
Observado;domestico;SBDN;Total;2016;254334,0
Observado;domestico;SBDN;Total;2017;254227,0
Observado;domestico;SBDN;Total;2018;278216,0
Observado;domestico;SBDN;Total;2019;318154,0
Observado;domestico;SBDN;Total;2020;108831,0
Observado;domestico;SBDN;Total;2021;134403,0
Observado;domestico;SBDN;Total;2022;221962,0
Observado;domestico;SBDN;Total;2023;283740,0
Observado;domestico;SBDN;Total;2024;311204,0
Observado;domestico;SBDO;Total;2012;16379,0
Observado;domestico;SBDO;Total;2013;64192,0
Observado;domestico;SBDO;Total;2014;107818,0
Observado;domestico;SBDO;Total;2015;105939,0
Observado;domestico;SBDO;Total;2016;76864,0
Observado;domestico;SBDO;Total;2017;58186,0
Observado;domestico;SBDO;Total;2018;62529,0
Observado;domestico;SBDO;Total;2019;81754,0
Observado;domestico;SBDO;Total;2020;44638,0
Observado;domestico;SBDO;Total;2021;18004,0
Observado;domestico;SBEG;Total;2004;1190561,0
Observado;domestico;SBEG;Total;2005;1380739,0
Observado;domestico;SBEG;Total;2006;1548064,0
Observado;domestico;SBEG;Total;2007;1845972,0
Observado;domestico;SBEG;Total;2008;1975174,0
Observado;domestico;SBEG;Total;2009;2183317,0
Observado;domestico;SBEG;Total;2010;2587408,0
Observado;domestico;SBEG;Total;2011;2862986,0
Observado;domestico;SBEG;Total;2012;3014325,0
Observado;domestico;SBEG;Total;2013;2967656,0
Observado;domestico;SBEG;Total;2014;3170851,0
Observado;domestico;SBEG;Total;2015;3085235,0
Observado;domestico;SBEG;Total;2016;2486573,0
Observado;domestico;SBEG;Total;2017;2482489,0
Observado;domestico;SBEG;Total;2018;2654273,0
Observado;domestico;SBEG;Total;2019;2874748,0
Observado;domestico;SBEG;Total;2020;1655878,0
Observado;domestico;SBEG;Total;2021;2154460,0
Observado;domestico;SBEG;Total;2022;2677578,0
Observado;domestico;SBEG;Total;2023;2437527,0
Observado;domestico;SBEG;Total;2024;2746090,0
Observado;domestico;SBFI;Total;2004;563251,0
Observado;domestico;SBFI;Total;2005;781808,0
Observado;domestico;SBFI;Total;2006;718265,0
Observado;domestico;SBFI;Total;2007;705732,0
Observado;domestico;SBFI;Total;2008;749153,0
Observado;domestico;SBFI;Total;2009;813388,0
Observado;domestico;SBFI;Total;2010;1116736,0
Observado;domestico;SBFI;Total;2011;1595024,0
Observado;domestico;SBFI;Total;2012;1648767,0
Observado;domestico;SBFI;Total;2013;1594368,0
Observado;domestico;SBFI;Total;2014;1771454,0
Observado;domestico;SBFI;Total;2015;1952012,0
Observado;domestico;SBFI;Total;2016;1761746,0
Observado;domestico;SBFI;Total;2017;2085086,0
Observado;domestico;SBFI;Total;2018;2209873,0
Observado;domestico;SBFI;Total;2019;2257146,0
Observado;domestico;SBFI;Total;2020;805584,0
Observado;domestico;SBFI;Total;2021;871643,0
Observado;domestico;SBFI;Total;2022;1499724,0
Observado;domestico;SBFI;Total;2023;1882170,0
Observado;domestico;SBFI;Total;2024;1995823,0
Observado;domestico;SBFL;Total;2004;1249668,0
Observado;domestico;SBFL;Total;2005;1430715,0
Observado;domestico;SBFL;Total;2006;1509208,0
Observado;domestico;SBFL;Total;2007;1761805,0
Observado;domestico;SBFL;Total;2008;1901176,0
